id,from_user,to_user,amount,type,status,reference_id,created_at,is_withdrawable,description,accounting_entry_id
d9005783-f0ed-40a8-9aa1-f32e156c34d2,,1.0,10.0,money_creation,pending,,2025-08-18 00:10:25.204090,0,إنشاء رصيد من المشرف الأعلى,
5fa17450-1e59-4fa4-96b1-290f647ebe12,,1.0,10.0,money_creation,pending,,2025-08-18 23:23:45.568879,0,إنشاء رصيد من المشرف الأعلى,
d0b94621-da9b-469c-a0e6-c9ea30936d7c,,1.0,299.0,money_creation,pending,,2025-08-20 00:48:45.393509,0,إنشاء رصيد من المشرف الأعلى,
,,4.0,1000.0,coupon_redeem,pending,,2025-08-21 17:15:40,0,شحن بكوبون A64510919,
cdf8631c-e435-421b-a2fc-0c85b2d8a8e1,1.0,3.0,100.0,transfer,pending,,2025-08-28 00:03:02.767440,0,تحويل رصيد,
5bd216c3-7071-4559-816e-68359c02e4a0,1.0,,1.0,transfer_fee,pending,,2025-08-28 00:03:02.767530,0,رسوم تحويل,
c5b4a314-00a2-42ec-b872-e7bd5c3f83c3,1.0,3.0,100.0,transfer,pending,,2025-08-28 00:17:27.823610,0,تحويل رصيد,
5ee9f0c5-5351-4268-9d98-9b0e5e86e804,1.0,,1.0,transfer_fee,pending,,2025-08-28 00:17:27.823692,0,رسوم تحويل,
518a79f8-237d-4cb1-bf71-c50dcd4767e8,1.0,3.0,100.0,transfer,pending,,2025-08-28 00:20:43.804031,0,تحويل رصيد,
d9bc068f-9a43-4f96-98a4-a92f64c5ab16,1.0,,1.0,transfer_fee,pending,,2025-08-28 00:20:43.804119,0,رسوم تحويل,
18167471-3384-414c-be9a-1abfc7e6d7c2,1.0,3.0,100.0,card_purchase,pending,,2025-08-28 03:29:55,0,شراء كرت 100 ريال من شبكة شبكه دريم عدن,
,,1.0,1000.0,coupon_redeem,pending,,2025-08-28 03:45:36,0,شحن بكوبون A97204081,
4218cde2-75b3-48e5-a361-b7a520e4e0fd,1.0,3.0,100.0,card_purchase,pending,,2025-08-28 03:46:44,0,شراء كرت 100 ريال من شبكة شبكه دريم عدن,
9aa9cc07-4038-4feb-8354-263c3e439d93,1.0,3.0,100.0,card_purchase,pending,,2025-08-28 03:58:10,0,شراء كرت 100 ريال من شبكة شبكه دريم عدن,
6fd8d4b3-3f32-4eeb-838e-98acebcb7ffe,1.0,3.0,100.0,card_purchase,pending,,2025-08-28 23:56:50,0,شراء كرت 100 ريال من شبكة شبكه دريم عدن,
,,3.0,10000.0,coupon_redeem,pending,,2025-08-29 00:29:44,0,شحن بكوبون A41006528,
59b22827-98a8-46e0-8cab-405ce5b3f241,1.0,6.0,100.0,transfer,pending,,2025-08-29 00:41:54.527724,0,تحويل رصيد من صديق,
7f27fc3d-f976-4016-b4ee-dbf6febdde21,1.0,3.0,100.0,card_purchase,pending,,2025-08-29 00:46:47,0,شراء كرت 100 ريال من شبكة شبكه دريم عدن,
b5b22073-98a8-4534-b615-e4f42c57f5f0,1.0,6.0,100.0,transfer,pending,,2025-08-29 01:05:22.383862,0,تحويل رصيد من صديق,
a330ba27-81f3-4349-8990-c0749254e581,1.0,3.0,100.0,card_purchase,pending,,2025-08-29 01:51:47,0,شراء كرت 100 ريال من شبكة شبكه دريم عدن,
45e0528c-944e-4271-8213-3806db58e991,1.0,3.0,100.0,card_purchase,pending,,2025-08-31 01:06:06,0,شراء كرت 100 ريال من شبكة شبكه دريم عدن,
bbd0115a-5574-4362-970c-e36710d4ff97,3.0,3.0,100.0,card_purchase,pending,,2025-08-31 02:55:01,0,شراء كرت 100 ريال من شبكة شبكه دريم عدن,
7df76d01-1343-478d-ae3f-db20dde9bace,3.0,3.0,100.0,card_purchase,pending,,2025-08-31 02:55:52,0,شراء كرت 100 ريال من شبكة شبكه دريم عدن,
d312530b-0e22-4129-91e9-1503758cdcbf,1.0,3.0,100.0,card_purchase,pending,,2025-08-31 03:11:25,0,شراء كرت 100 ريال من شبكة شبكه دريم عدن,
fe565a97-86b1-4c37-8c10-018a98d9759d,1.0,3.0,100.0,card_purchase,pending,,2025-08-31 03:11:56,0,شراء كرت 100 ريال من شبكة شبكه دريم عدن,
a252c4ff-c924-4163-8fb6-ebbdcf61f293,1.0,3.0,100.0,card_purchase,pending,,2025-08-31 03:13:12,0,شراء كرت 100 ريال من شبكة شبكه دريم عدن,
6df0f036-dc24-4735-8491-956a8f0472f4,,3.0,25.0,coupon_redeem,pending,,2025-08-31 03:23:29,0,شحن بكوبون A84576250,
9edbe269-682f-47cc-9e67-eb09c277b19f,3.0,1.0,100.0,transfer,pending,,2025-08-31 03:32:33.676738,0,تحويل رصيد من صديق,
eacbad46-fe8f-4145-a3e1-4236c29806f2,6.0,3.0,100.0,card_purchase,pending,,2025-08-31 03:50:26,0,شراء كرت 100 ريال من شبكة شبكه دريم عدن,
35f15c16-bea9-44d0-b955-f5a855aa7629,6.0,3.0,100.0,card_purchase,pending,,2025-08-31 03:50:57,0,شراء كرت 100 ريال من شبكة شبكه دريم عدن,
200e0cdc-3f56-4f09-b26c-a87fee91dcba,,1.0,100.0,coupon_redeem,pending,,2025-08-31 03:59:59,0,شحن بكوبون A40725728,
02382274-5f72-470e-acbe-95d975e7a5a5,,1.0,100.0,coupon_redeem,pending,,2025-08-31 04:47:50,0,شحن بكوبون A44753688,
f7518377-fbb4-4c1a-ad7c-749f50653000,1.0,3.0,100.0,transfer,pending,,2025-08-31 04:48:22.843070,0,تحويل رصيد من صديق,
ff62e149-4b53-496e-9a50-5c27f13e43cf,3.0,3.0,300.0,card_purchase,pending,,2025-08-31 04:52:54,0,شراء كرت 300 ريال من شبكة شبكه دريم عدن,
169ded40-762b-4c19-aa76-283c0d7d38e9,2.0,3.0,300.0,card_purchase,pending,,2025-08-31 05:37:08.490515,0,شراء كرت 300.0 ريال من شبكة شبكه دريم عدن,
f536cecf-9248-4508-98ba-bdf13af9ecb3,3.0,1.0,50.0,transfer,pending,,2025-08-31 05:41:38.159523,0,تحويل رصيد اختبار,
0cbb93c2-a4f8-409a-bd73-aa4e4ad6db06,,1.0,25.0,coupon_redeem,pending,,2025-08-31 05:46:28,0,شحن بكوبون A76523528,
2acabe67-29a2-4878-bc05-a3235e4bf512,,1.0,50.0,coupon_redeem,pending,,2025-08-31 05:49:31,0,شحن بكوبون CVBG5JSC,
d9443a1e-c5b4-46ab-941f-b76ac8cb86e2,3.0,1.0,500.0,transfer,pending,,2025-08-31 23:53:52.541106,0,تحويل رصيد من صديق,
7b795d60-e4f2-4146-8652-7b53ab4c3aef,3.0,1.0,500.0,transfer,pending,,2025-08-31 23:58:41.278022,0,تحويل رصيد من صديق,
